CHANNEL,NAME,ICON
0,HDMI In,WallInput.png
5,Fox 5/69,CH5.png
6,Ch 6,CH6.png
7,KNSD 7/39,CH7.png
8,KFMB 8,CH8.png
9,KUSI 9/51,CH9.png
10,KGTV 10,CH10.png
11,KPBS,CH11.png
12,Nick Jr.,CH12.png
13,Weather,CH13.png
14,FX,CH14-Alt.png
15,Fox Business,CH15.png
16,Fox News,CH16.png
17,CNN,CH17.png
18,CNBC,CH18.png
19,MSNBC,CH19.png
20,Golf,CH20.png
21,ESPN,CH21.png
22,ESPN 2,CH22.png
23,ESPN News,CH23.png
24,ESPN U,CH24.png
25,Ch 25,CH25-Alt.png
26,FS 1,CH26-Alt.png
27,Bally SD,BallySN.png
28,Bally West,BallySN.png
29,CBS Sports,CH29.png
30,NBC Sports,CH30.png
31,AMC,CH25-AMC.png
32,TBS,CH32.png
33,TNT,CH33-Alt.png
34,NBA TV,CH34.png
35,NFL Network,CH35.png
36,NHL Network,CH36.png
37,MLB Network,CH37.png
38,MLB 1,FanConnect.png
39,MLB 2,FanConnect.png
40,MLB 3,FanConnect.png
41,MLB 4,FanConnect.png
42,MLB 5,FanConnect.png
43,MLB 6,FanConnect.png
44,MLB 7,FanConnect.png
45,MLB 8,FanConnect.png
46,MLB 9,FanConnect.png
47,MLB 10,FanConnect.png
48,MLB 11,FanConnect.png
49,MLB 12,FanConnect.png
50,MLB 13,FanConnect.png
51,MLB 14,FanConnect.png
52,MLB 15,FanConnect.png
55,PADRES 1,PadresTV-SD.png
56,PADRES 2,PadresTV-SD.png
57,PADRES 3,PadresTV-SD.png
58,PADRES 4,PadresTV-SD.png
59,PADRES 5,PadresTV-SD.png
60,PADRES 6,PadresTV-SD.png
61,PADRES 7,PadresTV-SD.png
62,PADRES 8,PadresTV-SD.png
66,SALES 1,PetcoTV.png
67,SALES 2,PetcoTV.png
68,SALES 3,PetcoTV.png
69,SALES 4,PetcoTV.png
70,Fort Wayne,CH70.png
71,San Antonio,CH71.png
72,El Paso,CH72.png
73,Lake Elsinore,CH73.png
